Order_ID,Gender_Category,Product_Line,Product_Name,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,clothing_sizes,Shoe_Size,years,month
2087,Kids,Basketball,Zoom Freak,2.0,4656.28,0.0,9312.56,2024/11/01,Online,Kolkata,3777.5,,,2024.0,11.0
2088,Women,Running,Free RN,4.0,2149.28,0.0,8597.12,2025/04/26,Online,Bangalore,2702.93,XL,,2025.0,4.0
2089,Women,Training,Flex Trainer,2.0,6874.77,0.6,5499.82,2024/02/12,Online,Mumbai,1076.66,L,,2024.0,2.0
2090,Kids,Lifestyle,Dunk Low,1.0,6202.99,0.0,6202.99,,Retail,Bangalore,163.15,,8.0,,
2091,Kids,Running,Air Zoom,1.0,9246.88,0.0,9246.88,,Retail,Mumbai,1917.55,,11.0,,
2092,Kids,Basketball,Zoom Freak,2.0,4656.28,0.99,0.0,,Online,Delhi,207.2,XL,,,
2093,Men,Running,Free RN,1.0,7086.7,0.29,5031.56,,Online,Kolkata,146.73,XL,,,
2094,Kids,Training,Flex Trainer,1.0,4276.36,0.0,4276.36,2024/10/11,Retail,Delhi,2974.58,,10.0,2024.0,10.0
2095,Men,Lifestyle,Waffle One,1.0,5003.95,0.0,5003.95,2024/10/16,Online,Delhi,880.57,M,,2024.0,10.0
2096,Men,Running,Pegasus Turbo,2.0,4322.06,0.0,8644.12,2024/12/24,Online,Kolkata,288.66,XL,,2024.0,12.0
2097,Women,Training,ZoomX Invincible,1.0,7978.89,0.0,7978.89,,Online,Bangalore,769.05,XL,,,
2098,Men,Training,ZoomX Invincible,1.0,5690.69,0.69,1764.11,2024/01/24,Online,Hyderabad,98.3,L,,2024.0,1.0
2099,Kids,Soccer,Mercurial Superfly,2.0,8482.43,0.32,11536.1,2025/01/02,Retail,Mumbai,360.97,M,,2025.0,1.0
2100,Kids,Soccer,Phantom GT,1.0,5937.52,0.0,5937.52,2025/07/11,Retail,Mumbai,2287.57,,8.0,2025.0,7.0
2101,Kids,Running,Free RN,5.0,2010.07,0.0,10050.35,2025/07/03,Online,Hyderabad,3398.01,XL,,2025.0,7.0
2102,Women,Soccer,Mercurial Superfly,1.0,4301.85,0.77,989.43,2025/10/04,Online,Pune,284.17,XL,,2025.0,10.0
2103,Women,Basketball,LeBron 20,1.0,6777.88,0.0,6777.88,2025/01/08,Online,Kolkata,469.61,XL,,2025.0,1.0
2104,Men,Basketball,Kyrie Flytrap,1.0,7561.85,0.0,7561.85,,Retail,Delhi,2905.91,,,,
2105,Kids,Training,Metcon 7,2.0,5744.7,0.0,11489.4,2024/11/17,Retail,Mumbai,1716.04,,,2024.0,11.0
2106,Women,Running,Free RN,1.0,2149.28,0.0,2149.28,,Retail,Bangalore,76.95,,,,
2107,Women,Running,React Infinity,4.0,8136.39,0.0,32545.56,2024/08/30,Online,Hyderabad,184.69,M,,2024.0,8.0
2108,Kids,Lifestyle,Air Force 1,1.0,6066.5,0.27,4428.55,2024/11/15,Retail,Mumbai,338.77,XL,,2024.0,11.0
2109,Kids,Basketball,Zoom Freak,2.0,4656.28,0.0,9312.56,2025/01/29,Retail,Kolkata,3791.88,M,,2025.0,1.0
2110,Kids,Running,Air Zoom,1.0,3424.06,0.42,1985.95,2024/12/25,Retail,Pune,259.29,,12.0,2024.0,12.0
2111,Men,Lifestyle,Waffle One,76.0,5003.95,0.99,3803.0,2024/11/21,Retail,Bangalore,1326.67,,,2024.0,11.0
2112,Women,Training,Metcon 7,1.0,2201.54,0.0,2201.54,,Retail,Bangalore,697.42,,,,
2113,Women,Basketball,Air Jordan,2.0,3939.34,0.0,7878.68,2023/12/19,Retail,Pune,2918.93,XL,,2023.0,12.0
2114,Women,Training,Flex Trainer,1.0,3167.33,0.53,1488.65,,Retail,Pune,1567.37,XL,,,
2115,Kids,Soccer,Phantom GT,2.0,7607.45,0.0,15214.9,,Online,Kolkata,1969.03,,6.0,,
2116,Women,Basketball,LeBron 20,148.0,4038.32,0.99,5976.71,2024/08/27,Online,Hyderabad,2088.55,,,2024.0,8.0
2117,Women,Training,SuperRep Go,1.0,7645.96,0.0,7645.96,2024/10/30,Online,Pune,2037.43,L,,2024.0,10.0
2118,Kids,Basketball,Zoom Freak,2.0,8426.54,0.0,16853.08,2023/09/21,Online,Hyderabad,2696.85,XL,,2023.0,9.0
2119,Women,Training,Metcon 7,1.0,2201.54,0.41,1298.91,2025/05/04,Retail,Kolkata,2887.81,,11.0,2025.0,5.0
2120,Men,Soccer,Phantom GT,1.0,5259.05,0.0,5259.05,2024/12/14,Retail,Pune,328.0,,12.0,2024.0,12.0
2000,Kids,Running,React Infinity,1.0,7557.71,0.0,7557.71,2023/11/20,Retail,Kolkata,929.75,M,,2023.0,11.0
2122,Kids,Soccer,Mercurial Superfly,1.0,8482.43,0.0,8482.43,,Retail,Bangalore,1078.48,,,,
2123,Men,Running,Air Zoom,1.0,7143.23,0.0,7143.23,2024/09/15,Retail,Hyderabad,2195.52,L,,2024.0,9.0
2124,Kids,Basketball,Kyrie Flytrap,19.0,6436.11,0.99,1222.86,2025/04/07,Online,Kolkata,432.04,L,,2025.0,4.0
2125,Women,Soccer,Tiempo Legend,1.0,4957.93,0.0,4957.93,2024/10/12,Retail,Hyderabad,1051.22,M,,2024.0,10.0
2126,Kids,Running,Pegasus Turbo,1.0,5399.58,0.0,5399.58,2024/12/14,Retail,Pune,2508.34,L,,2024.0,12.0
2127,Men,Training,Metcon 7,1.0,4020.5,0.0,4020.5,2023/08/19,Online,Mumbai,3718.37,L,,2023.0,8.0
2128,Women,Basketball,LeBron 20,1.0,8750.71,0.0,8750.71,,Retail,Bangalore,1411.29,L,,,
2129,Men,Basketball,Zoom Freak,1.0,9106.61,0.0,9106.61,,Retail,Delhi,841.4,,9.0,,
2130,Men,Soccer,Premier III,3.0,3493.04,0.24,7964.13,2024/09/14,Online,Bangalore,2962.75,,10.0,2024.0,9.0
2131,Kids,Running,Free RN,1.0,5561.82,0.0,5561.82,,Retail,Mumbai,2227.48,XL,,,
2132,Men,Running,Free RN,2.0,7086.7,0.0,14173.4,,Online,Delhi,3882.22,L,,,
2133,Men,Training,Metcon 7,1.0,6789.53,0.0,6789.53,2024/10/10,Retail,Pune,166.81,XL,,2024.0,10.0
2134,Men,Training,ZoomX Invincible,1.0,4738.62,0.0,4738.62,2024/06/08,Online,Hyderabad,1009.28,M,,2024.0,6.0
2135,Men,Basketball,Zoom Freak,2.0,9106.61,0.74,4735.44,2024/11/03,Retail,Hyderabad,2422.38,L,,2024.0,11.0
2136,Kids,Training,ZoomX Invincible,1.0,6743.07,0.0,6743.07,2024/09/15,Online,Pune,3672.24,L,,2024.0,9.0
2137,Men,Soccer,Phantom GT,20.0,5222.02,0.95,5222.02,2025/01/12,Online,Delhi,1796.76,,,2025.0,1.0
2138,Men,Running,Pegasus Turbo,2.0,8055.2,0.0,16110.4,2025/06/14,Online,Mumbai,1840.09,,11.0,2025.0,6.0
2139,Women,Basketball,Air Jordan,1.0,9871.75,0.0,9871.75,2025/06/19,Retail,Mumbai,334.52,M,,2025.0,6.0
2140,Men,Basketball,Zoom Freak,1.0,6765.74,0.0,6765.74,2025/04/28,Online,Bangalore,875.45,M,,2025.0,4.0
2141,Kids,Soccer,Tiempo Legend,53.0,5553.88,0.99,2943.56,2023/11/22,Retail,Kolkata,1032.47,,,2023.0,11.0
2142,Kids,Soccer,Mercurial Superfly,1.0,8482.43,0.0,8482.43,2024/10/03,Retail,Kolkata,995.59,,,2024.0,10.0
2143,Kids,Training,ZoomX Invincible,1.0,6743.07,0.0,6743.07,2025/03/10,Online,Delhi,1006.66,L,,2025.0,3.0
2144,Women,Lifestyle,Waffle One,4.0,5582.98,0.0,22331.92,2025/03/30,Online,Kolkata,2385.1,,,2025.0,3.0
2145,Men,Lifestyle,Blazer Mid,2.0,7662.11,0.67,5056.99,2024/07/30,Online,Bangalore,1335.45,,6.0,2024.0,7.0
2146,Kids,Basketball,Air Jordan,79.0,3285.52,0.99,2595.56,2025/02/15,Retail,Mumbai,908.85,XL,,2025.0,2.0
2147,Women,Soccer,Phantom GT,1.0,3883.92,0.0,3883.92,2024/09/14,Online,Hyderabad,426.53,XL,,2024.0,9.0
2148,Men,Basketball,Kyrie Flytrap,1.0,7561.85,0.0,7561.85,2025/06/19,Online,Hyderabad,520.55,,,2025.0,6.0
2149,Women,Running,Pegasus Turbo,1.0,8016.24,0.0,8016.24,2025/05/20,Online,Kolkata,595.69,,,2025.0,5.0
2150,Women,Basketball,LeBron 20,2.0,3313.21,0.48,3445.74,2025/06/07,Online,Bangalore,3221.62,M,,2025.0,6.0
2151,Kids,Soccer,Tiempo Legend,4.0,5619.75,0.0,22479.0,2025/05/27,Online,Bangalore,2000.85,L,,2025.0,5.0
2152,Women,Running,Free RN,5.0,2149.28,0.0,10746.4,,Online,Bangalore,3819.41,,8.0,,
2153,Men,Running,React Infinity,1.0,3055.79,0.09,2780.77,2024/08/18,Retail,Pune,1246.58,,,2024.0,8.0
2154,Kids,Lifestyle,Blazer Mid,2.0,2963.16,0.0,5926.32,2025/04/01,Online,Bangalore,2381.85,XL,,2025.0,4.0
2155,Men,Soccer,Phantom GT,3.0,5259.05,0.0,15777.15,,Online,Hyderabad,1475.15,,,,
2156,Men,Soccer,Tiempo Legend,1.0,2786.84,0.0,2786.84,2024/08/31,Online,Pune,286.07,M,,2024.0,8.0
2157,Kids,Soccer,Premier III,1.0,2708.73,0.0,2708.73,2025/04/29,Online,Delhi,701.01,,,2025.0,4.0
2158,Women,Running,React Infinity,1.0,8136.39,0.5,4068.2,2025/01/28,Online,Mumbai,514.79,M,,2025.0,1.0
2159,Women,Training,ZoomX Invincible,2.0,3987.65,0.0,7975.3,,Retail,Delhi,2781.72,XL,,,
2160,Kids,Running,Air Zoom,3.0,3424.06,0.0,10272.18,2025/03/01,Retail,Mumbai,3744.91,XL,,2025.0,3.0
2161,Kids,Lifestyle,Waffle One,5.0,5119.41,0.8,5119.41,,Online,Pune,1956.8,M,,,
2162,Men,Lifestyle,Blazer Mid,1.0,7662.11,0.0,7662.11,,Online,Mumbai,2398.55,,8.0,,
2163,Men,Lifestyle,Dunk Low,146.0,6537.29,0.99,9544.44,2025/03/06,Retail,Hyderabad,3344.98,,7.0,2025.0,3.0
2164,Women,Soccer,Mercurial Superfly,12.0,4301.85,0.95,2581.11,2024/10/23,Online,Pune,872.9,,8.0,2024.0,10.0
2165,Kids,Training,SuperRep Go,4.0,4577.65,0.0,18310.6,2024/11/11,Retail,Kolkata,2460.19,L,,2024.0,11.0
2166,Women,Lifestyle,Air Force 1,1.0,7312.38,0.0,7312.38,2025/01/02,Online,Mumbai,3364.05,M,,2025.0,1.0
2167,Men,Running,React Infinity,3.0,3055.79,0.0,9167.37,,Retail,Mumbai,1259.58,XL,,,
2168,Women,Running,Pegasus Turbo,7.0,8016.24,0.85,8417.05,2024/08/01,Retail,Kolkata,3011.49,,,2024.0,8.0
2169,Kids,Training,Flex Trainer,4.0,4046.05,0.01,16022.36,2024/12/14,Retail,Delhi,1057.58,,,2024.0,12.0
2170,Kids,Lifestyle,Air Force 1,2.0,6066.5,0.0,12133.0,2025/06/28,Online,Kolkata,3218.82,M,,2025.0,6.0
2022,Women,Lifestyle,Air Force 1,4.0,9378.52,0.99,375.14,2023/10/29,Retail,Mumbai,128.92,L,,2023.0,10.0
2172,Women,Training,ZoomX Invincible,33.0,7988.99,0.99,2636.37,2024/12/17,Online,Bangalore,909.86,M,,2024.0,12.0
2173,Men,Running,Free RN,1.0,6620.78,0.0,6620.78,2025/03/29,Online,Bangalore,3770.03,L,,2025.0,3.0
2174,Women,Soccer,Phantom GT,1.0,3883.92,0.0,3883.92,,Retail,Pune,428.5,L,,,
2175,Women,Lifestyle,Blazer Mid,92.0,7670.82,0.99,7057.15,,Online,Pune,2457.78,,,,
2176,Men,Soccer,Mercurial Superfly,4.0,6196.01,0.0,24784.04,2025/04/01,Online,Bangalore,3908.28,,,2025.0,4.0
2177,Women,Lifestyle,Waffle One,1.0,5582.98,0.0,5582.98,2025/06/27,Retail,Mumbai,885.37,XL,,2025.0,6.0
2178,Men,Running,Free RN,1.0,7086.7,0.0,7086.7,2024/10/28,Retail,Bangalore,983.37,,,2024.0,10.0
2179,Women,Training,ZoomX Invincible,3.0,7978.89,0.0,23936.67,2024/01/26,Retail,Pune,3135.92,M,,2024.0,1.0
2180,Women,Basketball,LeBron 20,1.0,6970.47,0.0,6970.47,2024/05/15,Online,Pune,2189.84,XL,,2024.0,5.0
2181,Women,Lifestyle,Air Force 1,2.0,7312.38,0.0,14624.76,2025/01/06,Retail,Delhi,419.58,XL,,2025.0,1.0
2182,Kids,Basketball,Zoom Freak,1.0,7214.55,0.0,7214.55,,Online,Mumbai,662.77,,11.0,,
2183,Kids,Lifestyle,Waffle One,2.0,5389.56,0.0,10779.12,,Online,Pune,2927.93,M,,,
2184,Men,Soccer,Mercurial Superfly,4.0,6196.01,0.0,24784.04,,Retail,Hyderabad,1980.73,XL,,,
2185,Women,Training,ZoomX Invincible,4.0,4207.44,0.59,6900.2,2025/06/08,Online,Kolkata,615.48,XL,,2025.0,6.0
2186,Men,Running,React Infinity,1.0,3055.79,0.0,3055.79,,Retail,Bangalore,540.83,,,,
2187,Men,Running,React Infinity,1.0,7795.32,0.0,7795.32,2024/09/11,Online,Mumbai,2402.99,L,,2024.0,9.0
2188,Men,Running,React Infinity,1.0,3055.79,0.0,3055.79,,Online,Pune,1278.03,L,,,
2189,Men,Training,SuperRep Go,3.0,6819.78,0.9,2045.93,2024/10/02,Online,Hyderabad,3628.46,L,,2024.0,10.0
2190,Kids,Basketball,Kyrie Flytrap,4.0,4280.01,0.66,5820.81,,Online,Delhi,1949.77,L,,,
2191,Men,Lifestyle,Air Force 1,3.0,6009.58,0.0,18028.74,2024/09/28,Retail,Pune,1032.88,,8.0,2024.0,9.0
2192,Men,Basketball,Kyrie Flytrap,1.0,7561.85,0.0,7561.85,2023/10/13,Retail,Delhi,554.91,XL,,2023.0,10.0
2193,Women,Lifestyle,Waffle One,1.0,5582.98,0.99,0.0,2025/01/17,Retail,Delhi,1803.66,XL,,2025.0,1.0
2194,Men,Soccer,Mercurial Superfly,1.0,6196.01,0.0,6196.01,2024/10/27,Online,Hyderabad,926.03,M,,2024.0,10.0
2195,Women,Training,SuperRep Go,1.0,8577.75,0.51,4203.1,,Online,Delhi,1041.81,,,,
2196,Kids,Soccer,Premier III,2.0,2708.73,0.0,5417.46,2025/06/30,Online,Delhi,925.63,L,,2025.0,6.0
2197,Kids,Training,ZoomX Invincible,3.0,6743.07,0.0,20229.21,2024/10/06,Online,Bangalore,418.5,L,,2024.0,10.0
2198,Men,Training,SuperRep Go,4.0,6819.78,0.65,9547.69,2025/01/05,Online,Pune,169.33,,7.0,2025.0,1.0
2199,Men,Soccer,Premier III,1.0,3493.04,0.0,3493.04,,Retail,Kolkata,389.94,M,,,
2200,Men,Basketball,Air Jordan,3.0,5570.72,0.0,16712.16,,Online,Delhi,1513.76,,9.0,,
2201,Women,Training,SuperRep Go,1.0,8577.75,0.0,8577.75,2024/05/10,Online,Mumbai,1403.56,,11.0,2024.0,5.0
2202,Men,Basketball,Kyrie Flytrap,1.0,7918.93,0.99,0.0,2025/07/04,Retail,Bangalore,1994.42,M,,2025.0,7.0
2203,Men,Lifestyle,Air Force 1,1.0,6903.22,0.0,6903.22,,Online,Pune,1556.95,M,,,
2204,Men,Basketball,LeBron 20,1.0,7660.41,0.0,7660.41,2025/05/17,Online,Delhi,2076.75,,7.0,2025.0,5.0
2205,Women,Running,React Infinity,1.0,8136.39,0.0,8136.39,2025/04/24,Retail,Pune,467.52,XL,,2025.0,4.0
2206,Men,Training,Flex Trainer,2.0,3270.23,0.0,6540.46,,Online,Delhi,524.85,M,,,
2207,Women,Running,Pegasus Turbo,1.0,8016.24,0.0,8016.24,,Online,Hyderabad,2101.41,XL,,,
2208,Women,Basketball,LeBron 20,20.0,5172.62,0.97,3103.57,,Retail,Hyderabad,1074.04,M,,,
